title,rating
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4
A Year in Provence (Provence #1),4
"1,000 Places to See Before You Die",5
Sharp Objects,4
The Past Never Ends,4
The Murder of Roger Ackroyd (Hercule Poirot #4),4
A Time of Torment (Charlie Parker #14),5
Murder at the 42nd Street Library (Raymond Ambler #1),4
What Happened on Beale Street (Secrets of the South Mysteries #2),5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5
Delivering the Truth (Quaker Midwife Mystery #1),4
The Mysterious Affair at Styles (Hercule Poirot #1),4
The Silkworm (Cormoran Strike #2),5
A Flight of Arrows (The Pathfinders #2),5
Mrs. Houdini,5
The Marriage of Opposites,4
A Paris Apartment,4
World Without End (The Pillars of the Earth #2),4
The Passion of Dolssa,5
Voyager (Outlander #3),5
The Red Tent,5
Between Shades of Gray,5
While You Were Mine,5
Lost Among the Living,4
